product_slug,pack_label,pack_size_value,pack_size_unit,mrp,ptr,sku,sort_order,is_active
13-de-saturate,Standard Pack,,,,,13DESATURATE,1,True
tusnorm-ls-drops,Standard Pack,,,70,50,TUSNORMLSDROPS,1,True
tangical-15ml,Standard Pack,15,ml,,,TANGICAL15ML-15ML,1,True
11-colanese-peg,Bottle,200,ml,350,,11COLANESEPEG-200ML,1,True
purnas-24-100-ml-syp-multivitamin-multimineral-with-l,Bottle,100,ml,,,PURNAS24100MLSYPMU-100ML,1,True
clavrix-drops,Standard Pack,,,110,79,CLAVRIXDROPS,1,True
tangiron-syrup,Standard Pack,,,270,180.9,TANGIRONSYRUP,1,True
floravate-gg-15ml,Standard Pack,15,ml,445,,FLORAVATEGG15ML-15ML,1,True
wrnz-drops,Standard Pack,,,90,64,WRNZDROPS,1,True
daily-solo-pediatric-syrup,Standard Pack,,,,,DAILYSOLOPEDIATRIC,1,True
thedigi-lact-15ml,Standard Pack,15,ml,,,THEDIGILACT15ML-15ML,1,True
purnas-24-200-ml-syp-multivitamin-multimineral-with-l-2,Bottle,200,ml,,,PURNAS24200MLSYPMU-200ML,1,True
esmofresh-dsr-3,Standard Pack,,,140,100,ESMOFRESHDSR3,1,True
jointee-cis,Standard Pack,,,450,322,JOINTEECIS,1,True
22-daily-solo-syrup,Bottle,100,ml,100,,22DAILYSOLOSYRUP-100ML,1,True
