sl_no,division_slug,category_slug,brand,product_slug,composition,pack_label,mrp,ptr
41,neuroshine,tablets-capsules,12) JIOMAX D3,12-jiomax-d3,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg capsules",Standard Pack,220.0,157.0
42,neuroshine,tablets-capsules,13) TUBER FORTE,13-tuber-forte,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU tablets",Standard Pack,190.0,136.0
43,neuroshine,tablets-capsules,14) ESMOFRESH,14-esmofresh,Esomeprazole gastro-resistant tablets IP 40 mg,Standard Pack,120.0,86.0
44,neuroshine,tablets-capsules,15) ESMOFRESH DSR,15-esmofresh-dsr,Esomeprazole 40mg & Sustained release Domperidone 30mg capsules,Standard Pack,140.0,100.0
45,neuroshine,tablets-capsules,16) Palminorm,16-palminorm,"Palmitoylethanolamide 300 mg, Daidzein 50 mg, Genistein 4 mg Tablets",Standard Pack,250.0,167.5
46,neuroshine,tablets-capsules,"17) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",17-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata-2,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins",Standard Pack,,
47,neuroshine,tablets-capsules,2) TUFGABA NT 100,2-tufgaba-nt-100,Gabapentin 100 mg & Nortriptyline 10 mg tablets,Standard Pack,160.0,114.0
48,neuroshine,tablets-capsules,20) Myotizer,20-myotizer,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin",Standard Pack,,
49,neuroshine,tablets-capsules,3) TUFGABA NT 200,3-tufgaba-nt-200,Gabapentin 100 mg & Nortriptyline 10 mg tablets,Standard Pack,170.0,122.0
50,neuroshine,tablets-capsules,4) Tufgaba NT 400,4-tufgaba-nt-400,"Gabapentin 400 mg , Nortriptyline 10 mg",Standard Pack,330.0,236.0
51,neuroshine,tablets-capsules,5) Tufgaba GAT,5-tufgaba-gat,"Gabapentin 300 mg , Amitriptyline 10 mg",Standard Pack,250.0,179.0
52,neuroshine,tablets-capsules,6) TUFGABA 100,6-tufgaba-100,Gabapentin 100 mg,Standard Pack,100.0,72.0
53,neuroshine,tablets-capsules,7) MIGRACE,7-migrace,"Magnesium oxide,Coenzyme Q10 & Riboflavin  Tablets",Standard Pack,280.0,200.0
54,neuroshine,tablets-capsules,8) VESTINE,8-vestine,Duloxetine 20mg tablets,Standard Pack,139.0,99.38
55,neuroshine,tablets-capsules,"9) WINHANCE TAB-Benfotiamine 200 mg, Methylcobalamin 1000 nano gram , Alpha Lipoic Acid 200 mg, Folic acid 1.5 mg, Chromium Picolinate 200 mcg, D Chiro inositol 13.8mg,  Myo",9-winhance-tab-benfotiamine-200-mg-methylcobalamin-1000-nano-gram-alpha-lipoic-acid-200-mg-folic-acid-1-5-mg-chromium-picolinate-200-mcg-d-chiro-inositol-13-8mg-myo,"Inositol 100 mg & Pyridoxine Hydrochloride 3 mg Tablets, Vitamin D3 600 IU",Standard Pack,250.0,179.0
56,ortho,nano-shots,D GOOD,d-good,Vitamin D3 Oral Solution 60000  IU/5 ml,Standard Pack,90.0,64.0
57,ortho,syrups,Daily Solo Syrup,daily-solo-syrup,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics",Standard Pack,,
58,ortho,syrups,JOINTEE  CIS,jointee-cis,"Cissus quadrangularis 500mg,Withania somnifera 200mg, Ergocalciferal 400IU,Phosphorus 10mg,Calcium 100mg,Vitamin B12 300mcg,Folic Acid 300mcg & Vitamin B6 0.75mg / 10 ml Syrup",Standard Pack,450.0,322.0
59,ortho,syrups,"PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",purnas-24-200-ml-syp-multivitamin-multimineral-with-l-2,Lysine,Standard Pack,,
60,ortho,tablets-capsules,"17) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",17-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins Syrup",Standard Pack,,
61,ortho,tablets-capsules,"18) WINHANCE TAB-Benfotiamine 200 mg, Methylcobalamin 1000 nano gram , Alpha Lipoic Acid 200 mg, Folic acid 1.5 mg, Chromium Picolinate 200 mcg, D Chiro inositol 13.8mg,  Myo",18-winhance-tab-benfotiamine-200-mg-methylcobalamin-1000-nano-gram-alpha-lipoic-acid-200-mg-folic-acid-1-5-mg-chromium-picolinate-200-mcg-d-chiro-inositol-13-8mg-myo,"Inositol 100 mg & Pyridoxine Hydrochloride 3 mg Tablets, Vitamin D3 600 IU",Standard Pack,250.0,179.0
62,ortho,tablets-capsules,19) Myotozer,19-myotozer,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin",Standard Pack,,
63,ortho,tablets-capsules,"CALVNH -Elemental Ca- 500 mg+ Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",calvnh-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate,20mg Tablets,Standard Pack,,
64,ortho,tablets-capsules,ESMOFRESH,esmofresh,Esomeprazole Gastro-Resistant Tablets IP 40 mg,Standard Pack,120.0,86.0
65,ortho,tablets-capsules,ESMOFRESH DSR,esmofresh-dsr,Esomeprazole 40mg & Sustained Release Domperidone 30mg Capsules,Standard Pack,140.0,100.0
66,ortho,tablets-capsules,JIOMAX D3,jiomax-d3,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg Capsules",Standard Pack,220.0,157.0
67,ortho,tablets-capsules,JOINTEE  TF,jointee-tf,"Collagen (Type I, II, V, X) 200 mg, Mucopolysaccharides 50mg , Chondriotin Sulphate 100 mg, Hyaluronic Acid 75mg Capsules",Standard Pack,,
68,ortho,tablets-capsules,TUBER FORTE,tuber-forte,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets",Standard Pack,190.0,136.0
69,ortho,tablets-capsules,Tufgaba 100,tufgaba-100,Gabapentin 100 mg,Standard Pack,100.0,72.0
70,ortho,tablets-capsules,Tufgaba GAT,tufgaba-gat,"Gabapentin 300 mg , Amitriptyline 10 mg",Standard Pack,250.0,179.0
71,ortho,tablets-capsules,Tufgaba NT 100,tufgaba-nt-100,"Gabapentin 100 mg , Nortriptyline 10 mg",Standard Pack,160.0,114.0
72,ortho,tablets-capsules,Tufgaba NT 200,tufgaba-nt-200,"Gabapentin 200 mg , Nortriptyline 10 mg",Standard Pack,170.0,122.0
73,ortho,tablets-capsules,Tufgaba NT 400,tufgaba-nt-400,"Gabapentin 400 mg , Nortriptyline 10 mg",Standard Pack,330.0,236.0
74,pediatrics,drops,CLAVRIX DROPS,clavrix-drops,Amoxycillin 80mg+Clavulanic Acid 11.4mg/ml,Standard Pack,,
75,pediatrics,drops,COLONEZ DF DROP,colonez-df-drop,Simethicone 40mg+Dill Oil 0.005ml+ Fennel oil 0.0007ml,Standard Pack,,
76,pediatrics,drops,D3 EIGHT,d3-eight,Cholecalciferol (Vitamin D3) 800 IU/ml,Standard Pack,,
77,pediatrics,drops,Daily Solo Advanced Pediatric Drops,daily-solo-advanced-pediatric-drops,"Multivitamins, Multiminerals, DHA, Leutin, Pre & Probiotics",Standard Pack,,
78,pediatrics,drops,FLORABACI ORAL SUS,florabaci-oral-sus,Bacillus clausii 2 billion spores /5ml,Standard Pack,,
79,pediatrics,drops,ONDRIX,ondrix,Ondansetron 2mg/5ml,Standard Pack,,
80,pediatrics,drops,"PURNAS 24 30 ML DROPS-Multivitamin,Multimineral with L",purnas-24-30-ml-drops-multivitamin-multimineral-with-l,Lysine,Standard Pack,,
81,pediatrics,drops,TUSNORM LS DROPS,tusnorm-ls-drops,Levosalbutamol0.25 mg + Ambroxol 7.5 mg+ Guaiphensin 12.5 mg,Standard Pack,,
82,pediatrics,drops,Tangiron Drops,tangiron-drops,"Iron 5 mg, Folic Acid 30 mcg, Vitamin B12  0.9 mcg/0.5 ml",Standard Pack,,
83,pediatrics,drops,VYDROX DROPS,vydrox-drops,Hydroxyzine  Hcl 6mg/ml Drops,Standard Pack,,
84,pediatrics,drops,WRNZ DROPS,wrnz-drops,Phenylephrine Hcl 5mg+CPM 2mg / ml drops,Standard Pack,,
85,pediatrics,drops,ZNPD 20 DROPS,znpd-20-drops,Zinc sulphate (monohydrate) 20 mg/ml,Standard Pack,,
86,pediatrics,nasal-ear-drops,LIDOPHEN EAR DROPS,lidophen-ear-drops,"Phenazone 4% w/v, Lidocaine 1% w/v",Standard Pack,,
87,pediatrics,nasal-ear-drops,WRNZ -S  NASAL DROPS,wrnz-s-nasal-drops,Sodium Chloride 0.65 5 w/v,Standard Pack,,
88,pediatrics,nasal-ear-drops,WRNZ BABY NASAL DROPS,wrnz-baby-nasal-drops,Oxymetazoline 0.01% w/v,Standard Pack,,
89,pediatrics,nasal-ear-drops,WRNZ KID NASAL DROPS,wrnz-kid-nasal-drops,Oxymetazoline 0.05% w/v,Standard Pack,,
90,pediatrics,nasal-ear-drops,WRNZ MINI NASAL DROPS,wrnz-mini-nasal-drops,Oxymetazoline 0.025% w/v,Standard Pack,,
91,pediatrics,shampoo,Mimoza Shampoo,mimoza-shampoo,,Standard Pack,,
92,pediatrics,soap,Mimoza,mimoza,Baby Soap,Standard Pack,,
93,pediatrics,soap,Mimoza Baby Soap,mimoza-baby-soap,,Standard Pack,,
94,pediatrics,syrups,CEFDRIX,cefdrix,100-Cefpodoxime oral suspension IP 100mg/5ml,Standard Pack,,
95,pediatrics,syrups,CLAVRIX FORTE,clavrix-forte,Amoxycillin 400mg+ Clavulanic Acid 57mg/5ml,Standard Pack,,
96,pediatrics,syrups,COLANESE PEG,colanese-peg,Polyethylene Glycol 3350 USP 13.125g,Standard Pack,,
97,pediatrics,syrups,DEFLANORM,deflanorm,Deflazacort  6mg/5ml,Standard Pack,,
98,pediatrics,syrups,Daily Solo Pediatric Syrup,daily-solo-pediatric-syrup,"Multivitamins, Multiminerals,Inositiol, L-Carnitine,  Taurine,DHA, Leutin, Natural Fruit Extract, Pre & Probiotics  Syrup",Standard Pack,,
99,pediatrics,syrups,FINEMEF,finemef,100-Mefenamic Acid IP 100mg/5ml,Standard Pack,,
100,pediatrics,syrups,FINEMEF -DS,finemef-ds,Mefenamic Acid 100mg+ Paracetamol 250mg/5ml,Standard Pack,,
101,pediatrics,syrups,FINEMEF-P,finemef-p,Mefenamic Acid 50mg+Paracetamol 125mg/5ml,Standard Pack,,
102,pediatrics,syrups,LETMON,letmon,Levocetirizine DiHcl 2.5mg+Montelukast Sodium 4mg/5ml,Standard Pack,,
103,pediatrics,syrups,OFLARIX -100,oflarix-100,Ofloxacin 100mg/5ml,Standard Pack,,
104,pediatrics,syrups,PARA DS,para-ds,Paracetamol 250mg/5ml oral suspension,Standard Pack,,
105,pediatrics,syrups,"PURNAS 24 100 ML SYP-Multivitamin,Multimineral with L",purnas-24-100-ml-syp-multivitamin-multimineral-with-l,Lysine,Standard Pack,,
106,pediatrics,syrups,"PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",purnas-24-200-ml-syp-multivitamin-multimineral-with-l,Lysine,Standard Pack,,
107,pediatrics,syrups,RELASMO DS,relasmo-ds,Drotavereine 20 mg/5ml,Standard Pack,,
108,pediatrics,syrups,TUSNORM,tusnorm,"XT -Acebrophylline 50mg, Guaiphenesin 50mg, Terbutaline 12.5mg /5ml syrup",Standard Pack,,
109,pediatrics,syrups,TUSNORM L SYP,tusnorm-l-syp,Levosalbutamol  1mg + Ambroxol 30mg+ Guaiphensin 50mg/5ml syrup,Standard Pack,,
110,pediatrics,syrups,TUSNORM LS JR SYP,tusnorm-ls-jr-syp,Levosalbutamol0.25 mg + Ambroxol 7.5 mg+ Guaiphensin 12.5 mg/5ml,Standard Pack,,
111,pediatrics,syrups,Tangiron Syrup,tangiron-syrup,Iron  & Folic Acid Syrup,Standard Pack,,
112,pediatrics,syrups,VYDROX,vydrox,Hydroxyzine  Hcl 10mg Solution/5ml,Standard Pack,,
113,pediatrics,syrups,WRNZ SYP,wrnz-syp,Phenylephrine Hcl 5mg+CPM2mg /5 ml syrup,Standard Pack,,
114,pediatrics,syrups,ZNPD,znpd,Zinc  Gluconate  20mg syrup/5ml,Standard Pack,,
115,surgeon,nano-shots,14) D GOOD,14-d-good,Vitamin D3 oral solution 60000  IU/5 ml,Standard Pack,90.0,64.0
116,surgeon,syrups,10) COLONEZ  PEG,10-colonez-peg,Polyethylene glycol 3350 USP 13.125g,Standard Pack,350.0,250.0
117,surgeon,syrups,11) DE SATURATE,11-de-saturate,"Potassium Citrate 1100mg ,Magnesium Citrate 375 mg & Vitamin B6 20 mg / 5ml Oral Solution",Standard Pack,,
118,surgeon,syrups,"12) PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",12-purnas-24-200-ml-syp-multivitamin-multimineral-with-l,Lysine,Standard Pack,,
119,surgeon,syrups,13) Daily Solo Syrup,13-daily-solo-syrup,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics",Standard Pack,,
120,surgeon,tablets-capsules,1) Zanoflex,1-zanoflex,Ofloxacin 400mg Tablets,Standard Pack,,
121,surgeon,tablets-capsules,2) TUBER FORTE,2-tuber-forte,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets",Standard Pack,190.0,136.0
122,surgeon,tablets-capsules,"3) WINHANCE TAB-Benfotiamine 200 mg, Methylcobalamin 1000 nano gram , Alpha Lipoic Acid 200 mg, Folic acid 1.5 mg, Chromium Picolinate 200 mcg, D Chiro inositol 13.8mg,  Myo",3-winhance-tab-benfotiamine-200-mg-methylcobalamin-1000-nano-gram-alpha-lipoic-acid-200-mg-folic-acid-1-5-mg-chromium-picolinate-200-mcg-d-chiro-inositol-13-8mg-myo,"Inositol 100 mg & Pyridoxine Hydrochloride 3 mg Tablets, Vitamin D3 600 IU",Standard Pack,250.0,179.0
123,surgeon,tablets-capsules,"4) CALVNH -Elemental Ca- 500 mg+ Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",4-calvnh-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate,20mg Tablets,Standard Pack,,
124,surgeon,tablets-capsules,5) JIOMAX D3,5-jiomax-d3-2,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg Capsules",Standard Pack,220.0,157.0
125,surgeon,tablets-capsules,6) ESMOFRESH,6-esmofresh,Esomeprazole gastro-resistant tablets IP 40 mg,Standard Pack,120.0,86.0
126,surgeon,tablets-capsules,7) ESMOFRESH DSR,7-esmofresh-dsr,Esomeprazole 40mg & Sustained release Domperidone 30mg capsules,Standard Pack,140.0,100.0
127,surgeon,tablets-capsules,"8) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",8-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins",Standard Pack,,
128,surgeon,tablets-capsules,9) Myotizer,9-myotizer,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin",Standard Pack,,
129,uro,nano-shots,D GOOD,d-good-2,Vitamin D3 oral solution 60000  IU/5 ml,Standard Pack,90.0,64.0
130,uro,syrups,COLONEZ  PEG,colonez-peg,Polyethylene glycol 3350 USP 13.125g,Standard Pack,350.0,250.0
131,uro,syrups,DE SATURATE (200 ml),de-saturate-200-ml,"Potassium Citrate 1100mg ,Magnesium Citrate 375 mg & Vitamin B6 20 mg / 5ml Oral Solution",Standard Pack,,
132,uro,syrups,DE SATURATE (450 ml),de-saturate-450-ml,"Potassium Citrate 1100mg ,Magnesium Citrate 375 mg & Vitamin B6 20 mg / 5ml Oral Solution",Standard Pack,,
133,uro,syrups,Daily Solo Syrup,daily-solo-syrup-2,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics",Standard Pack,,
134,uro,syrups,"PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",purnas-24-200-ml-syp-multivitamin-multimineral-with-l-3,Lysine,Standard Pack,,
135,uro,tablets-capsules,"Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins",Standard Pack,,
136,uro,tablets-capsules,ESMOFRESH,esmofresh-2,Esomeprazole gastro-resistant tablets IP 40 mg,Standard Pack,120.0,86.0
137,uro,tablets-capsules,ESMOFRESH DSR,esmofresh-dsr-2,Esomeprazole 40mg & Sustained release Domperidone 30mg capsules,Standard Pack,140.0,100.0
138,uro,tablets-capsules,TUBER FORTE,tuber-forte-2,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets",Standard Pack,190.0,136.0
